PF19546	211,75,59
PF01887	191,157,52
PF15902	76,191,164
PF13192	190,171,82
PF05171	95,212,200
PF13360	114,93,192
PF04608	98,208,142
PF00520	184,179,79
PF12867	58,189,56
PF10017	101,114,215
PF00310	211,75,121
PF04898	217,105,122
PF01493	191,116,58
PF04461	198,93,189
PF13398	79,213,72
PF01398	198,79,166
PF02781	65,142,200
PF00479	202,169,59
PF00393	81,220,98
PF03091	74,143,203
PF20943	67,226,132
PF04253	227,97,152
PF03279	162,57,206
PF02577	72,224,221
PF03320	74,101,221
PF00494	95,215,124
PF02685	220,103,218
PF09609	207,158,66
PF09617	87,184,187
PF02563	98,135,198
PF08547	213,172,74
PF20420	60,186,130
PF09988	48,49,188
PF12040	109,205,51
PF07638	59,204,223
PF13371	217,113,227
PF12796	65,154,193
PF14903	153,180,49
PF14403	65,124,227
PF05227	76,186,170
PF06616	131,210,79
PF07669	173,206,93
PF04168	190,92,60
PF07466	225,82,113
PF01483	190,85,56
PF01223	180,120,48
PF09369	51,63,187
PF05635	109,218,175
PF01427	79,122,198
PF02348	187,179,88
PF02696	202,166,74
PF02446	90,142,180
PF02222	66,179,77
PF17769	70,56,224
PF14815	201,129,84
PF03301	202,144,68
PF03200	111,50,178
PF07721	182,48,101
PF14326	73,219,104
PF11899	92,198,103
PF13899	110,71,185
PF11412	92,135,227
PF16177	216,70,155
PF09195	53,73,196
PF17801	106,215,124
PF16499	79,186,140
PF09876	132,179,48
PF14489	216,67,146
PF04240	76,111,210
PF11965	66,139,200
PF02514	75,147,224
PF04422	229,132,103
PF04432	227,109,216
PF07284	135,178,78
PF00856	117,95,191
PF08406	62,217,168
PF05711	101,220,197
PF13601	77,51,179
PF02744	197,99,87
PF10047	187,71,138
PF01472	206,87,92
PF19788	91,184,89
PF01575	185,203,65
PF07813	227,96,85
PF13911	157,80,196
PF00708	201,96,154
PF13699	104,75,223
PF00076	72,190,222
PF12635	179,107,85
PF13635	187,223,61
PF13173	204,79,129
PF13356	103,216,58
PF13362	50,182,115
PF13148	71,206,211
PF01316	94,191,49
PF02863	92,104,226
PF13579	144,98,225
PF03626	116,67,195
PF00510	210,102,131
PF00115	213,190,56
PF00116	225,180,112
PF02630	72,169,208
PF11821	51,183,197
PF03916	176,69,204
PF03928	211,85,169
PF13506	126,92,216
PF11946	101,207,138
PF09996	162,69,204
PF09594	187,149,53
PF13801	214,56,129
PF05233	217,127,70
PF16789	95,197,179
PF04434	120,85,200
PF09298	95,151,195
PF20388	214,197,93
PF12557	59,200,216
PF02572	60,189,131
PF08960	92,196,161
PF01894	65,66,190
PF08780	107,75,191
PF13632	219,57,102
PF04784	201,76,140
PF00732	208,132,88
PF05199	69,87,223
PF09837	209,55,56
PF00368	191,71,117
PF09559	183,131,52
PF13229	81,89,223
PF10509	174,228,114
PF17937	226,89,133
PF02594	103,133,221
PF03588	159,184,74
PF10013	207,103,63
PF10722	221,80,213
PF01674	103,213,132
PF02641	57,115,221
PF00762	200,88,96
PF19295	78,76,222
PF08148	161,70,192
PF13354	225,89,168
PF02036	185,100,208
PF08003	196,49,51
PF07264	224,105,167
PF12895	107,64,204
PF01758	173,178,83
PF07287	146,199,52
PF04227	203,53,171
PF19778	80,202,175
PF13749	204,78,138
PF18766	209,98,56
PF13310	102,224,92
PF13491	151,89,212
PF19366	196,115,94
PF04347	75,183,107
PF01521	82,194,88
PF00565	153,199,55
PF04095	82,57,185
PF13675	62,228,117
PF01794	106,87,194
PF13905	78,155,203
PF04371	182,62,115
PF13305	80,78,192
PF04187	67,54,208
PF14464	214,210,55
PF09233	90,145,214
PF18135	62,93,222
PF02617	95,202,167
PF01833	225,130,109
PF16113	222,60,165
PF14890	229,100,163
PF05235	69,200,76
PF00487	179,56,209
PF13249	83,168,200
PF13243	64,197,204
PF00723	210,71,140
PF09137	144,57,194
PF09087	203,218,71
PF06508	106,87,198
PF00290	83,186,133
PF01835	162,206,86
PF07703	193,103,80
PF00207	87,188,50
PF07678	170,217,104
PF17973	200,197,89
PF06418	190,104,68
PF14041	225,101,226
PF14522	207,72,114
PF02085	102,163,216
PF10134	63,66,205
PF00211	186,72,78
PF04140	70,193,180
PF00195	214,110,104
PF13551	199,70,121
PF03621	136,184,76
PF02371	56,183,210
PF01548	79,148,199
PF06762	77,58,202
PF05448	103,179,64
PF02733	155,54,186
PF00395	91,196,104
PF18998	145,46,183
PF13385	205,73,163
PF09479	83,80,226
PF12974	105,211,220
PF13189	51,196,94
PF02538	103,66,208
PF02475	114,194,69
PF18093	88,205,126
PF18911	204,98,129
PF18204	75,185,145
PF01092	93,207,156
PF09999	83,189,104
PF01201	227,69,182
PF02633	212,141,80
PF19118	205,66,178
PF01873	227,130,83
PF00736	204,54,215
PF07754	198,101,221
PF06197	194,89,182
PF04367	178,189,49
PF14805	181,164,46
PF02680	181,137,72
PF01988	102,195,209
PF04013	220,137,82
PF01325	85,181,109
PF02742	72,107,193
PF05222	123,219,107
PF01262	90,201,72
PF12769	162,53,202
PF02233	63,180,139
PF16156	79,117,191
PF02933	103,90,192
PF02359	55,197,216
PF01936	203,95,221
PF06550	99,206,182
PF01885	229,80,136
PF14010	157,75,199
PF13482	90,99,209
PF06094	184,76,116
PF00141	195,112,62
PF02006	211,62,133
PF13417	207,121,73
PF20473	92,186,105
PF01963	195,213,101
PF01796	175,59,215
PF12172	127,182,46
PF04306	182,140,55
PF04186	112,194,89
PF17214	202,138,85
PF16661	76,188,135
PF10996	220,99,195
PF01884	191,52,56
PF13263	60,100,196
PF19590	107,137,221
PF08542	94,199,157
PF01973	130,60,179
PF01722	220,92,147
PF19094	164,77,213
PF02778	66,212,124
PF01974	197,97,160
PF14528	76,217,205
PF01876	211,173,80
PF01900	187,72,163
PF10584	98,207,100
PF01172	83,197,70
PF09377	197,101,81
PF20268	87,206,161
PF01194	183,102,85
PF10518	75,118,201
PF04167	138,224,56
PF08915	156,195,97
PF18446	79,200,220
PF13462	203,74,93
PF02600	86,168,214
PF13656	91,214,61
PF03625	81,148,213
PF16947	225,192,110
PF13404	158,48,183
PF08394	150,183,74
PF01096	221,142,110
PF02150	98,184,79
PF18780	64,212,62
PF14337	211,116,55
PF07705	162,225,104
PF17231	74,112,187
PF01609	65,199,179
PF08438	80,185,89
PF19137	63,204,170
PF10369	180,94,57
PF14342	206,220,109
PF00884	57,208,64
PF00209	88,210,86
PF02586	169,90,217
PF08696	141,192,60
PF13086	185,63,229
PF13087	93,212,140
PF04143	88,130,211
PF18913	217,69,135
PF00316	73,179,67
PF05016	142,219,100
PF01137	55,124,204
PF11867	95,209,131
PF04313	88,102,198
PF07441	90,138,215
PF04967	118,100,218
PF04982	100,214,150
PF07732	219,73,171
PF10006	84,54,208
PF05960	181,50,145
PF13238	75,104,223
PF09520	46,178,74
PF19098	109,223,113
PF07826	203,91,140
PF02697	102,87,182
PF01877	199,54,98
PF03683	216,130,102
PF00493	182,209,81
PF17207	83,179,116
PF14551	208,87,90
PF19148	76,78,195
PF00382	184,184,71
PF19502	218,152,100
PF09079	93,101,189
PF09254	84,188,163
PF07187	206,79,220
PF01889	59,87,189
PF00127	218,106,201
PF05729	76,135,192
PF13401	146,88,213
PF17855	69,154,180
PF03176	159,201,84
PF04068	68,200,102
PF17835	100,197,87
PF03699	181,212,53
PF01951	79,172,210
PF01959	74,104,218
PF03465	116,202,66
PF03463	138,78,198
PF08706	205,88,117
PF19263	90,93,187
PF06314	92,128,191
PF01983	156,202,86
PF08423	147,96,199
PF09844	96,175,215
PF02748	93,202,172
PF01948	221,66,127
PF13610	125,76,187
PF01907	189,205,95
PF04032	98,184,199
PF08069	145,70,182
PF18158	135,223,111
PF01982	63,221,113
PF03364	136,80,203
PF19810	199,203,85
PF01402	101,210,55
PF04123	205,58,155
PF19099	198,207,81
PF20068	100,200,87
PF09846	204,99,102
PF09845	122,201,73
PF01921	108,192,87
PF10120	81,220,170
PF20126	212,86,107
PF01717	201,169,92
PF13977	162,65,228
PF06677	90,85,211
PF02732	172,55,182
PF21210	205,68,69
PF13576	100,224,60
PF01874	224,108,85
PF04289	185,169,60
PF20766	93,156,225
PF09173	208,137,91
PF18477	179,57,79
PF03876	104,225,118
PF06093	58,202,177
PF04019	81,143,219
PF01282	88,172,193
PF01599	135,226,100
PF08029	82,157,182
PF06966	58,209,77
PF02996	96,63,210
PF01775	213,124,75
PF01912	171,71,193
PF01198	200,65,80
PF00832	60,205,165
PF01191	216,107,224
PF04566	225,71,134
PF04567	179,52,141
PF21238	133,88,212
PF00752	60,67,183
PF00867	65,213,114
PF14578	59,205,190
PF11848	192,192,63
PF01200	82,185,92
PF01253	120,69,209
PF07790	160,78,199
PF03444	102,124,210
PF08663	197,161,79
PF18330	176,192,88
PF08745	194,219,104
PF03464	219,133,103
PF04402	87,209,99
PF16450	124,101,223
PF14810	62,228,61
PF10028	81,183,80
PF21763	218,103,226
PF13714	69,205,105
PF01949	179,80,132
PF01927	79,204,153
PF14791	156,70,194
PF14716	168,220,76
PF19101	74,195,120
PF01428	149,106,222
PF10070	209,65,208
PF04038	216,101,172
PF09754	227,61,69
PF03685	93,190,226
PF13166	219,102,200
PF17647	154,82,208
PF13248	82,227,97
PF02074	187,69,87
PF01810	148,205,55
PF09202	176,207,52
PF01163	79,106,186
PF07995	224,129,98
PF00016	183,133,78
PF02788	126,203,56
PF19115	120,205,62
PF04952	109,86,190
PF08443	73,85,205
PF01269	176,183,67
PF01798	219,205,59
PF01994	193,82,125
PF01849	190,73,194
PF04919	191,134,48
PF03874	74,228,208
PF01157	98,156,223
PF04087	206,97,59
PF04894	89,132,191
PF04895	190,182,74
PF14947	92,57,191
PF07581	86,69,217
PF00136	212,99,103
PF03104	194,65,61
PF01246	196,52,207
PF15515	81,83,198
PF08753	206,67,149
PF08271	179,98,62
PF16900	179,59,70
PF19769	178,179,57
PF01135	93,203,207
PF04312	59,54,202
PF19131	192,90,174
PF11563	87,202,186
PF04283	206,65,161
PF01917	226,148,90
PF04659	90,187,150
PF05377	89,186,196
PF02643	227,135,106
PF03070	95,69,205
PF01127	201,98,156
PF01981	212,197,91
PF01142	67,180,58
PF06847	192,81,172
PF19122	90,199,217
PF00324	182,52,99
PF19609	173,64,182
PF04104	104,215,130
PF00705	225,109,111
PF01970	53,192,65
PF03439	190,98,229
PF05742	115,52,202
PF13456	93,201,75
PF01866	95,194,90
PF01036	97,204,107
PF09858	64,137,207
PF07311	105,218,110
PF02598	202,102,221
PF01868	124,62,220
PF16906	185,107,54
PF08071	89,77,181
PF00900	87,207,87
PF01655	181,53,115
PF01280	190,112,94
PF17144	72,110,185
PF10559	76,212,135
PF03972	206,78,193
PF19305	78,185,98
PF18859	55,196,167
PF13194	62,187,106
PF04493	226,80,58
PF04577	60,188,179
PF17836	205,182,89
PF13483	192,80,87
PF01637	113,180,46
PF03008	134,52,197
PF18306	173,113,228
PF15960	185,150,56
PF08617	171,211,59
PF21280	216,90,58
PF20470	209,99,86
PF08489	81,227,183
PF07747	60,144,227
PF03476	186,89,82
PF17909	131,225,105
PF01862	194,148,75
PF03911	200,139,81
PF13379	179,133,79
PF00096	59,139,199
PF13894	180,188,76
PF01297	157,180,58
PF00950	207,65,87
PF17884	99,185,219
PF08774	192,123,82
PF01864	119,76,195
PF06559	78,208,72
PF15461	185,170,68
PF09274	213,123,68
PF19045	228,224,78
PF07085	189,95,222
PF20565	91,178,54
PF01946	188,158,82
PF04475	85,153,189
PF01896	194,103,211
PF01956	88,222,185
PF13207	214,74,94
PF13386	177,178,88
PF05048	183,180,69
PF04238	112,77,203
PF11255	170,213,74
PF01780	124,179,50
PF03604	191,91,81
PF09341	214,98,55
PF01920	120,217,78
PF07584	191,149,87
PF03007	214,135,100
PF06974	82,222,201
PF04018	65,190,116
PF00089	195,80,118
PF01941	78,156,211
PF19096	56,131,217
PF08704	129,227,61
PF02679	136,45,179
PF01986	89,148,183
PF18754	125,88,227
PF01903	158,215,57
PF18069	184,49,67
PF18009	211,224,62
PF08707	49,93,182
PF04820	189,93,112
PF04010	195,60,90
PF09826	57,193,142
PF05854	143,80,183
PF02002	70,227,79
PF09883	213,78,174
PF19119	193,158,65
PF03684	156,67,198
PF13685	94,193,114
PF01870	73,201,170
PF03833	194,50,150
PF05090	180,178,85
PF04250	221,88,151
PF19656	181,105,87
PF07411	203,219,108
PF13937	122,78,209
PF15915	191,96,200
PF05990	101,191,221
PF08608	207,56,95
PF03479	121,178,86
PF16999	182,145,79
PF04930	64,197,203
PF16897	84,188,143
PF19146	127,202,52
PF01984	198,97,148
PF01090	186,142,71
PF02089	90,131,214
PF01871	184,221,59
PF00808	203,143,96
PF00935	55,94,214
PF01667	198,113,76
PF07541	191,87,65
PF04135	65,173,215
PF19294	206,188,91
PF21485	102,214,94
PF00833	215,101,179
PF05853	185,58,94
PF05425	225,105,180
PF03686	61,191,168
PF07998	65,142,186
PF01893	180,170,68
PF13344	86,195,208
PF17777	200,80,209
PF00428	204,86,190
PF01015	187,51,120
PF00352	126,96,214
PF06026	103,227,70
PF05342	197,153,87
PF08494	61,126,228
PF19306	61,192,191
PF14158	222,75,85
PF01899	104,226,194
PF04066	193,82,138
PF03334	88,185,159
PF13244	81,172,178
PF20501	119,188,76
PF04039	80,185,200
PF02649	82,108,227
PF12831	227,184,110
PF06733	74,188,77
PF21800	194,51,91
PF06778	119,78,179
PF18195	214,219,88
PF05165	219,158,86
PF10040	171,48,194
PF18320	88,194,175
PF04242	217,59,116
PF13809	227,145,108
PF19138	194,205,70
PF09920	199,58,197
PF02005	151,204,69
PF04029	69,115,180
PF16502	71,53,182
PF03404	229,85,95
PF14601	213,198,63
PF01922	79,179,89
PF04981	188,90,92
PF21133	95,215,57
PF09249	159,226,97
PF00827	216,189,102
PF21473	188,50,77
PF19646	84,49,193
PF00296	220,164,86
PF17146	200,53,170
PF19120	199,93,102
PF21180	157,103,218
PF20768	201,130,62
PF04406	63,213,85
PF18000	130,227,96
PF09239	214,76,168
PF02381	115,86,182
PF13409	192,112,78
PF13410	209,111,66
PF04034	72,203,229
PF01020	90,157,224
PF01283	84,191,214
PF15632	159,101,208
PF21360	54,71,204
PF02148	167,204,74
PF16472	165,106,221
PF01028	76,192,170
PF02919	134,195,79
PF01287	223,57,117
PF20364	85,190,79
PF13340	56,114,198
PF13440	138,75,206
PF05922	222,81,155
PF02494	88,66,183
PF17963	198,181,82
PF18551	91,58,204
PF01154	62,107,218
PF08540	178,205,58
PF13023	226,93,215
PF04455	58,209,86
PF21571	128,66,187
PF21570	89,117,214
PF06973	77,181,184
PF06849	209,92,163
PF18689	185,57,152
PF01904	211,101,115
PF01094	208,211,76
PF09488	55,60,178
PF10061	66,202,130
PF13473	185,210,59
PF13453	166,82,227
PF05019	76,221,132
PF01814	90,217,55
PF14518	113,201,96
PF15140	180,63,131
PF09336	207,96,157
PF00230	92,227,157
PF21320	169,216,69
PF04896	63,159,206
PF01958	219,153,75
PF13031	220,96,138
PF14470	96,161,203
PF08761	173,204,76
PF16795	83,203,121
PF01400	153,222,63
PF00656	92,128,205
PF07731	78,225,123
PF20628	207,80,123
PF04266	87,162,200
PF03458	89,228,144
PF04744	223,199,109
PF12367	180,173,61
PF12942	167,204,72
PF04675	156,82,185
PF01068	219,97,58
PF04679	140,207,53
PF16575	108,141,225
PF08378	223,167,71
PF09630	64,208,115
PF11746	189,58,116
PF02156	79,48,185
PF19580	91,200,115
PF00413	154,222,68
PF17159	160,206,72
PF04182	108,219,105
PF02747	69,178,183
PF05559	210,94,87
PF04412	175,76,192
PF01989	196,154,63
PF19026	71,224,63
PF03587	146,184,52
PF17170	116,80,192
PF09489	99,180,228
PF09490	92,51,193
PF04234	213,186,99
PF01914	106,68,181
PF06736	177,212,56
PF01865	98,205,116
PF07237	203,76,171
PF08327	100,223,100
PF06348	218,174,77
PF10517	193,224,83
PF17991	73,193,223
PF06150	66,101,201
PF02656	165,225,106
PF03022	177,204,100
PF14417	60,192,195
PF02694	134,76,182
PF07452	187,203,68
PF10049	108,221,66
PF03239	130,48,189
PF00754	113,75,209
PF14588	138,85,179
PF05916	218,121,102
PF01774	220,210,87
PF01730	179,62,89
PF02814	212,55,126
PF00449	59,116,217
PF00699	144,186,53
PF00547	90,97,182
PF03253	80,71,221
PF05534	107,219,145
PF18933	92,185,90
PF04041	213,172,73
PF01950	133,212,94
PF17805	171,70,196
PF08819	58,206,198
PF01915	89,193,195
PF14310	47,80,185
PF09557	179,226,69
PF10957	97,207,164
PF14870	76,212,66
PF06475	195,65,158
PF09360	105,228,195
PF05726	65,102,185
PF02678	64,178,216
PF01423	106,199,220
PF04042	190,50,159
PF18822	80,219,87
PF20469	92,169,185
PF13175	69,123,224
PF09250	212,82,65
PF17135	214,64,89
PF21262	156,214,102
PF14306	189,130,55
PF01747	183,84,96
PF18930	59,99,203
PF14894	220,82,198
PF03357	229,194,111
PF03029	129,180,79
PF14382	49,182,114
PF01918	70,213,71
PF04007	199,54,134
PF07784	181,68,148
PF13205	169,204,58
PF05626	66,221,100
PF16203	184,88,98
PF13964	218,184,57
PF00030	82,185,109
PF13418	107,181,62
PF03083	180,62,144
PF05974	50,108,180
PF19459	206,54,141
PF02230	173,207,65
PF14544	54,175,185
PF08386	69,143,180
PF05368	191,69,112
PF06172	209,99,146
PF00190	195,102,87
PF03657	190,206,63
PF04758	117,50,195
PF00394	206,98,226
PF02239	209,67,212
PF04685	208,170,96
PF01658	221,97,217
PF04208	206,78,193
PF18046	75,172,223
PF18297	116,200,92
PF08068	60,228,139
PF01997	208,152,64
PF18929	76,147,208
PF11387	102,66,219
PF20554	56,163,212
PF12680	183,228,94
PF07485	216,196,106
PF07088	224,170,90
PF09843	53,56,179
PF04126	88,184,140
PF10143	188,159,85
PF03297	134,181,55
PF05161	62,152,180
PF13660	123,89,208
PF09969	108,202,226
PF02796	60,213,140
PF04027	181,53,103
PF00782	196,91,161
PF19907	110,81,201
PF13560	227,170,97
PF19621	205,220,99
PF18014	91,228,105
PF04165	198,90,54
PF01314	85,202,204
PF02730	190,82,127
PF09840	68,102,204
PF21572	170,95,210
PF10869	69,120,205
PF13680	184,163,87
PF05763	147,66,210
PF14419	186,78,193
PF01901	110,91,228
PF13230	181,73,165
PF04322	139,184,52
PF01939	121,70,214
PF21003	99,120,222
PF13969	211,99,132
PF11536	211,218,88
PF03459	197,91,160
PF18211	205,200,71
PF03750	87,188,126
PF09455	139,194,77
PF13098	208,214,88
PF09094	193,173,62
PF09095	103,175,227
PF09910	224,191,64
PF04017	181,59,46
PF07318	211,90,227
PF18246	79,185,224
PF03192	196,63,138
PF11447	136,204,55
PF05971	73,205,87
PF20123	202,193,74
PF17833	107,221,142
PF17957	74,179,172
PF17297	180,205,87
PF00821	214,91,223
PF10130	227,107,198
PF21244	214,104,70
PF04254	57,199,72
PF01886	192,76,188
PF08843	96,201,224
PF07760	202,176,93
PF05168	185,76,57
PF01954	223,99,208
PF14076	171,221,57
PF18881	209,100,190
PF09314	95,76,203
PF06819	181,59,56
PF18458	70,92,188
PF13690	59,184,76
PF02449	139,181,62
PF18231	68,178,83
PF18489	97,99,203
PF21100	175,204,53
PF21690	102,179,70
PF02985	186,151,61
PF07381	214,60,190
PF06510	213,204,79
PF04587	100,103,215
PF04407	109,90,197
PF04415	201,93,130
PF13463	205,79,161
PF04473	93,187,178
PF03956	90,197,163
PF01750	227,103,103
PF06777	55,97,192
PF04252	221,75,149
PF01861	130,193,87
PF17832	88,194,222
PF15517	60,143,218
PF11469	111,194,56
PF21476	184,57,68
PF02900	226,103,71
PF20176	218,227,80
PF04021	193,148,96
PF08351	69,226,129
PF05127	77,121,186
PF13718	65,189,130
PF03266	158,67,196
PF17915	122,194,95
PF02001	211,102,218
PF01955	52,203,63
PF11537	173,217,104
PF09823	89,56,181
PF04411	197,79,222
PF01455	146,86,223
PF01924	65,213,79
PF08859	133,74,199
PF07503	85,83,212
PF17788	198,61,218
PF04033	219,136,71
PF09658	194,97,68
PF09702	112,96,203
PF04423	146,182,75
PF09378	64,67,191
PF01998	85,74,192
PF00931	65,205,76
PF19077	93,182,227
PF10007	71,90,185
PF17645	211,104,116
PF21269	121,179,65
PF03069	189,71,109
PF11755	184,225,94
PF07302	179,214,106
PF02676	177,52,187
PF04024	201,193,93
PF08267	101,212,85
PF14809	81,223,224
PF10015	56,189,146
PF21579	186,175,87
PF09852	79,176,212
PF20984	208,155,90
PF06202	175,190,79
PF14742	98,62,197
PF03367	194,144,92
PF09171	70,178,45
PF09847	175,222,105
PF16861	112,228,62
PF02543	193,85,114
PF01199	132,78,209
PF21436	95,50,178
PF09891	178,52,80
PF02615	65,178,176
PF00374	222,206,102
PF08967	165,224,64
PF03673	195,188,83
PF10050	195,110,64
PF06195	99,97,202
PF06858	140,59,212
PF00432	212,181,88
PF21011	65,132,183
PF10102	161,218,62
PF09874	64,186,215
PF17806	225,225,81
PF05124	193,140,72
PF02952	66,99,187
PF20986	226,125,98
PF04430	196,57,227
PF13938	224,71,185
PF11897	193,176,94
PF01602	150,213,104
PF12717	158,62,229
PF15985	228,89,177
PF21266	187,93,87
PF04409	146,45,181
PF09638	204,71,67
PF01937	217,94,211
PF01155	152,55,189
PF10066	157,183,55
PF21711	68,222,196
PF09868	221,122,87
PF04009	88,189,142
PF16653	108,228,142
PF04256	228,117,95
PF04410	85,153,201
PF17856	87,213,74
PF06068	130,229,111
PF01247	189,217,108
PF18947	93,128,227
PF14801	180,163,58
PF08646	166,203,82
PF04008	95,215,87
PF19022	214,75,168
PF14336	102,121,206
PF18714	71,155,207
PF06560	105,181,212
PF07602	55,77,219
PF18917	180,61,149
PF03415	66,205,197
PF14229	175,219,61
PF00801	189,88,103
PF13469	206,212,62
PF09350	91,208,114
PF08984	180,162,84
PF18764	86,185,56
PF13384	207,93,66
PF14353	173,203,80
PF13421	217,56,102
PF20990	213,58,143
PF09972	217,70,74
PF08484	211,166,74
PF07332	219,217,99
PF12277	208,88,192
PF07736	93,162,218
PF19960	91,205,201
PF20703	207,127,58
PF17853	67,50,184
PF09297	73,215,142
PF09296	215,93,134
PF13480	87,162,223
PF11941	83,196,68
PF09862	87,194,142
PF07796	185,134,90
PF00071	69,203,112
PF12401	208,94,89
PF18955	199,155,62
PF10462	86,115,213
PF09471	56,112,217
PF01619	224,220,65
PF07698	203,64,160
PF07697	142,219,83
PF06439	148,47,188
PF01712	192,90,99
PF02366	226,141,87
PF12688	155,210,58
PF16582	90,128,188
PF07884	55,198,99
PF13769	203,161,65
PF10041	93,167,212
PF03352	160,194,70
PF01419	128,205,94
PF13676	119,224,77
PF19638	168,65,199
PF04020	190,139,77
PF18899	219,98,116
PF14117	207,201,98
PF13376	199,173,89
PF08922	167,203,89
PF01704	140,217,55
PF13612	103,216,57
PF18614	78,142,194
PF04384	154,106,220
PF12038	192,171,92
PF10025	82,186,115
PF13529	91,224,161
PF10131	207,186,70
PF11028	120,198,94
PF13196	76,88,184
PF11074	113,229,106
PF08020	106,215,91
PF00932	95,216,80
PF13366	78,226,197
PF16158	65,211,127
PF20773	79,69,188
PF16901	215,192,95
PF07840	73,180,106
PF03150	161,196,91
PF09445	225,101,58
PF18096	202,103,214
PF05096	210,82,173
PF14524	187,54,88
PF13546	193,64,60
PF05138	51,87,189
PF06243	133,208,63
PF21814	217,67,56
PF16277	55,188,138
PF14014	161,217,71
PF04456	96,68,220
PF18854	219,98,174
PF18030	214,71,223
PF16656	89,204,115
PF06253	226,93,193
PF11700	221,148,110
PF14340	208,82,105
PF01583	112,61,226
PF04237	89,91,179
PF06224	141,188,71
PF04184	112,228,184
PF02604	91,183,156
PF06769	213,97,73
PF19728	200,91,116
PF00641	93,106,201
PF09586	76,124,206
PF18882	57,185,55
PF07021	158,197,74
PF13548	227,64,220
PF20423	220,81,138
PF06315	73,137,205
PF08445	194,59,153
PF03264	229,185,68
PF02335	147,75,183
PF03704	203,117,100
PF13711	182,127,73
PF10387	84,62,227
PF04264	186,49,102
PF13090	193,113,92
PF17941	67,119,188
PF02503	75,72,193
PF13089	55,115,203
PF16927	110,156,226
PF13787	191,196,95
PF04365	182,72,61
PF12441	221,89,70
PF19961	59,134,181
PF14486	96,175,212
PF08450	66,193,130
PF20067	68,136,180
PF08532	79,182,96
PF02836	101,101,206
PF00703	222,108,225
PF02837	198,112,85
PF06722	222,168,55
PF14347	188,72,99
PF05209	227,145,66
PF04383	187,98,75
PF03575	90,182,163
PF08031	226,100,88
PF13517	95,220,108
PF14262	228,171,84
PF10364	190,209,69
PF08421	153,189,63
PF00685	149,227,78
PF13807	210,89,87
PF02706	86,209,168
PF03379	79,170,194
PF14384	110,88,182
PF14257	85,135,196
PF03869	106,65,213
PF14358	89,122,211
PF02868	201,80,184
PF01447	137,79,194
PF07504	83,215,149
PF17186	202,55,118
PF07143	179,208,79
PF17786	203,94,166
PF17753	181,143,67
PF14329	204,103,61
PF16561	76,218,145
PF10552	216,97,217
PF10547	68,212,227
PF09678	183,67,167
PF04655	79,113,217
PF20472	145,212,104
PF05066	48,194,169
PF04314	226,60,170
PF06897	53,143,210
PF08818	96,93,223
PF05532	106,142,227
PF01341	197,221,74
PF08367	193,135,72
PF19928	61,85,180
PF01220	77,181,191
PF09569	215,200,77
PF00077	205,184,82
PF20656	218,224,100
PF01274	229,61,170
PF20659	204,97,202
PF00463	92,103,214
PF14236	188,202,62
PF03596	197,103,89
PF01292	78,224,204
PF09413	229,94,103
PF03100	217,169,106
PF16327	106,189,76
PF03918	154,106,214
PF06296	151,221,62
PF03480	155,77,220
PF04273	147,67,194
PF13975	92,222,146
PF07704	184,82,208
PF18348	217,57,185
PF05015	155,212,70
PF10086	163,57,198
PF09913	64,55,211
PF13267	100,64,204
PF12439	191,78,153
PF13286	194,66,180
PF17289	178,218,79
PF13227	188,76,184
PF10145	208,88,88
PF03350	57,221,57
PF10009	54,162,186
PF07484	74,180,66
PF20248	180,95,66
PF11852	182,80,187
PF17967	185,132,46
PF13688	149,221,85
PF02469	78,72,218
PF16296	193,60,70
PF09985	98,186,70
PF04075	47,183,180
PF00481	211,91,118
PF17936	205,143,72
PF02018	60,136,192
PF13651	143,54,191
PF19420	83,167,196
PF13744	180,76,82
PF00450	136,184,60
PF01510	83,191,143
PF05656	134,92,205
PF11290	208,103,162
PF07091	50,150,183
PF06108	216,89,100
PF03160	129,60,212
PF06719	134,213,80
PF10012	147,65,196
PF07653	56,63,180
PF20935	69,135,223
PF20242	65,178,212
PF11139	99,99,199
PF00887	92,223,158
PF11667	207,98,142
PF17479	184,61,76
PF11258	64,179,193
PF04525	196,97,151
PF09604	93,220,152
PF16868	111,56,222
PF06742	193,51,79
PF06863	59,139,209
PF12089	109,182,83
PF11950	112,90,182
PF11999	177,218,94
PF03306	226,96,118
PF19371	178,70,203
PF15428	110,224,161
PF13946	118,97,224
PF18884	82,138,194
PF08332	189,198,78
PF03733	136,60,207
PF14249	124,89,205
PF13197	164,198,76
PF05597	71,216,142
PF06240	142,203,53
PF04151	101,124,207
PF11974	67,227,96
PF11146	198,148,70
PF00028	113,69,214
PF17803	228,73,103
PF14765	227,112,202
PF08659	182,152,76
PF13427	137,53,184
PF09012	115,197,82
PF14256	175,62,196
PF03102	76,215,169
PF17137	84,189,167
PF14446	62,200,59
PF00179	91,161,195
PF08817	156,56,181
PF00350	208,57,99
PF02592	209,191,89
PF02790	93,221,185
PF02104	168,65,220
PF10262	64,174,222
PF06267	165,201,82
PF08823	125,179,45
PF18897	87,194,126
PF18906	141,90,193
PF05065	207,98,63
PF04860	103,79,201
PF03237	190,71,228
PF05163	221,93,213
PF13600	174,223,93
PF13598	157,82,187
PF18603	70,205,89
PF16870	68,71,192
PF16078	67,182,169
PF21805	132,64,216
PF09511	146,180,76
PF16242	183,56,97
